 pollu     , saroad , avg ,eenheid, s1    , s2  , s3  , s4  , s5  , s6  , s7  , s8   , s9   , s10  , s11  
 BC        ,16111,daily,µg,0,1,2,3,4,5,7,10,15,20,9999
 Benzene   ,45201,daily,µg,0,"0,5",1,"1,25","1,5","2,75","3,5",5,"7,5",10,9999
 CO        ,42101,half-hour,µg,0,100,200,300,400,600,800,1000,1500,2000,9999
 NO2       ,42602,hour,µg,0,25,45,60,80,110,150,200,270,400,9999
NO2,42602,yearly,µg,0,10,15,20,25,30,35,40,45,50,9999
 O3        ,44201,hour,µg,0,30,50,70,90,110,145,180,240,360,9999
 O3        ,44201,8-uur,µg,0,30,45,60,80,100,120,150,200,270,9999
O3,44201,yearly,µg,0,10,20,30,35,40,45,50,55,60,9999
 PM10      ,81102,daily,µg,0,10,20,30,40,50,70,100,150,200,9999
 PM10      ,81102,yearly,µg,0,10,15,20,25,30,35,40,45,50,9999
 PM25      ,81104,daily,µg,0,5,10,15,20,30,40,50,60,70,9999
 PM25      ,81104,yearly,µg,0,5,7,10,12,15,20,25,30,35,9999
 SO2       ,42401,daily,µg,0,15,30,45,60,80,100,125,165,250,9999
 SO2       ,42401,hour,µg,0,25,50,75,100,125,200,250,500,750,9999
 Temperature,62101,half-hour,°C,-9999,0,5,10,15,20,25,30,35,40,9999
